"date","temp","rhum","wdsp","vis","elpower","houtemp","s.rain","s.sun"
2018-06-14,15.0666666666667,63.4166666666667,22.9166666666667,34583.3333333333,246.5,17.7583333333333,0,4
2018-06-15,13.9083333333333,65.25,11.8333333333333,36666.6666666667,385.416666666667,18.1,0,2
2018-06-16,12.6375,78.5,12.875,30375,159.125,17.9,2.4,0.5
2018-06-17,14.3833333333333,81.5,12.75,21458.3333333333,420.333333333333,17.7583333333333,0.4,0.5
2018-06-18,14.13125,78.75,14.25,29062.5,167.375,17.19375,0.1,1
2018-06-19,14.2809523809524,79.0952380952381,10.5238095238095,26857.1428571429,317.238095238095,17.147619047619,0,2.9
2018-06-20,14.3625,71.2916666666667,13.875,38791.6666666667,239.416666666667,17.6166666666667,0.2,2.3
2018-06-21,12.1625,62.1666666666667,10.875,56666.6666666667,268.291666666667,17.525,0,12.9
2018-06-22,12.0541666666667,69.7916666666667,7.25,41666.6666666667,276.416666666667,18.275,0,15.6
2018-06-23,13.4875,71.9583333333333,7.29166666666667,40000,166.75,20.1791666666667,0,14.4
2018-06-24,15.9791666666667,69.2083333333333,6.54166666666667,34625,344.666666666667,21.5208333333333,0,15.6
2018-06-25,18.8166666666667,54.0416666666667,7.25,43333.3333333333,364.666666666667,23.3208333333333,0,12.5
2018-06-26,16.9708333333333,68.6666666666667,5.83333333333333,29583.3333333333,138.916666666667,24.25,0,11.3
2018-06-27,18.6708333333333,60.375,6.54166666666667,35625,194.833333333333,25.3041666666667,0,13.8
2018-06-28,19.0541666666667,60.25,6.45833333333333,38333.3333333333,152.5,25.575,0,15.9
2018-06-29,17.9875,57.4583333333333,7.16666666666667,31458.3333333333,263.25,25.7041666666667,0,15.8
2018-06-30,16.3708333333333,71.5416666666667,8,30416.6666666667,195.125,25.2375,0,15.5
2018-07-01,16.5291666666667,72.3333333333333,7.95833333333333,29791.6666666667,176.875,24.6666666666667,0,14
2018-07-02,16.4708333333333,71.0416666666667,9.625,40833.3333333333,167.791666666667,21.0916666666667,0,15.8
2018-07-03,16.4375,68.8333333333333,9,39791.6666666667,288.375,23.0583333333333,0,15.8
2018-07-04,17.9,67.1666666666667,6.45833333333333,43750,243.458333333333,23.8666666666667,0,14.6
2018-07-05,16.5333333333333,77,7.875,26000,168.333333333333,23.3583333333333,0,7.2
2018-07-06,17.0666666666667,79.4166666666667,5.25,20416.6666666667,160.25,22.8375,0,3.7
2018-07-07,18.3708333333333,70.7916666666667,6.58333333333333,51875,311.666666666667,23.0666666666667,0,11.4
2018-07-08,18.5208333333333,74.625,5.375,37916.6666666667,255.208333333333,23.5083333333333,0,4.6
2018-07-09,15.85,82.0833333333333,5.54166666666667,31666.6666666667,302.625,23.675,0,7
2018-07-10,14.5,76.5416666666667,6.66666666666667,31666.6666666667,335.791666666667,21.1708333333333,0,15.3
2018-07-11,15.1625,84.7916666666667,5.375,18125,316.708333333333,22.0458333333333,0,1.3
2018-07-12,15.7666666666667,78.8333333333333,6.20833333333333,21041.6666666667,305.833333333333,20.6708333333333,0,0
2018-07-13,15.8,75.5,4.625,25833.3333333333,158.583333333333,19.9041666666667,0,3.5
2018-07-14,18.5541666666667,68.9583333333333,6.08333333333333,27291.6666666667,164.583333333333,21.2583333333333,0,12.1
2018-07-15,17.5173913043478,85.1304347826087,5.78260869565217,19043.4782608696,362.826086956522,21.8869565217391,3.9,0
2018-07-16,15.9125,70.9583333333333,5.75,42291.6666666667,329.208333333333,21.0875,0,1.4
2018-07-17,16.0708333333333,66.6666666666667,6.125,45833.3333333333,160.75,20.2416666666667,0,2.1
2018-07-18,16.0428571428571,71.6190476190476,5.95238095238095,44761.9047619048,172.285714285714,20.1142857142857,0,2.2
2018-07-19,14.9708333333333,67.7916666666667,6,40625,167.875,20.95,0,9.3
2018-07-20,15.5875,88.1666666666667,7.125,17250,159.041666666667,21.0166666666667,11,0.1
2018-07-21,16.1625,77.0833333333333,7.29166666666667,28958.3333333333,158.375,19.975,0,0.1
2018-07-22,20.0833333333333,78.5833333333333,7.875,29875,283.041666666667,21.2916666666667,0,2.1
2018-07-23,20.2541666666667,79.3333333333333,6.625,24666.6666666667,226.625,22.4958333333333,0.8,3.2
2018-07-24,16.1625,73.1666666666667,6.33333333333333,42083.3333333333,250.25,21.85,0.1,2.8
2018-07-25,17.3041666666667,63.7083333333333,7.04166666666667,45000,393.458333333333,21.7291666666667,0,13.3
2018-07-26,18.6708333333333,71.2916666666667,8.375,49375,258.583333333333,22.2041666666667,0,11.7
2018-07-27,17.6458333333333,83.5416666666667,8,27166.6666666667,220.041666666667,22.7375,1.9,0.7
2018-07-28,12.975,81.6666666666667,9,25583.3333333333,376.375,21.0541666666667,14.4,2.3
2018-07-29,13.8666666666667,81.7083333333333,7.45833333333333,31458.3333333333,219.083333333333,19.1958333333333,5.6,0.8
2018-07-30,14.8375,73.1666666666667,6.625,47500,168.375,19.5458333333333,2.3,3.3
2018-07-31,15.0791666666667,73.2916666666667,9.79166666666667,42083.3333333333,345.291666666667,19.3541666666667,0,0.7
2018-08-01,16.1083333333333,82.25,8.25,27791.6666666667,339.875,19.1041666666667,5.7,0.8
2018-08-02,20.1666666666667,80.2916666666667,6.5,40000,219.416666666667,19.2041666666667,0.3,2.4
2018-08-03,19.6041666666667,79.7916666666667,6.70833333333333,35854.1666666667,73,19.9625,0.7,6.2
2018-08-04,17.0625,80.375,5.16666666666667,41416.6666666667,62.4166666666667,19.9875,0,6.2
2018-08-05,18.2166666666667,73.5,4.91666666666667,39583.3333333333,75.5833333333333,19.9166666666667,0,3.8
2018-08-06,17.5,80.8333333333333,6.75,33875,79.2083333333333,20.2208333333333,0.6,0.7
2018-08-07,15.0583333333333,70.9166666666667,7.54166666666667,40000,72.75,19.4875,0,4
2018-08-08,14.6708333333333,64.1666666666667,9.54166666666667,47500,74.9583333333333,18.8416666666667,0.1,6.6
2018-08-09,13.4125,63.4166666666667,7.45833333333333,47916.6666666667,76.375,17.675,0,7.9
2018-08-10,12.625,70.7083333333333,8.125,45833.3333333333,76.2916666666667,17.1208333333333,0,7.6
